Date_of_journey,Flight_code,Source_ID,Destination_ID,Total_stops,Departure_Time,Arrival_Time,Duration_in_mins,Business,Economy,First,Premium_Economy
02-01-2023,G8-363,26434,26431,non-stop,22:40,23:50,70,0,1965,0,0
02-01-2023,G8-363,26434,26496,1-stop,22:40,08:40,600,0,7596,0,0
02-01-2023,G8-363,26434,26555,1-stop,22:40,10:05,685,0,5996,0,0
02-01-2023,G8-364,26434,26431,non-stop,18:10,19:20,70,0,4196,0,0
02-01-2023,G8-364,26434,26496,1-stop,18:10,08:40,870,0,7596,0,0
02-01-2023,G8-364,26434,26555,1-stop,18:10,00:50,400,0,5014,0,0
02-01-2023,G8-365,26434,26431,non-stop,07:50,08:55,65,0,3446,0,0
02-01-2023,G8-365,26434,26555,1-stop,07:50,21:15,805,0,5996,0,0
02-01-2023,G8-365,26434,35141,1-stop,07:50,21:30,820,0,5156,0,0
02-01-2023,G8-371,26434,26555,1-stop,16:30,03:00,630,0,5996,0,0
02-01-2023,G8-382,26434,26555,1-stop,15:20,03:00,700,0,5996,0,0
02-01-2023,G8-382,26434,26555,1-stop,15:20,20:20,300,0,9027,0,0
02-01-2023,G8-384,26434,26555,1-stop,22:05,03:00,295,0,5996,0,0
02-01-2023,G8-393,26496,26555,1-stop,10:40,21:50,670,0,7110,0,0
02-01-2023,G8-393,26496,26555,1-stop,10:40,23:10,750,0,7110,0,0
02-01-2023,G8-393,26496,35145,1-stop,10:40,19:50,550,0,6710,0,0
02-01-2023,G8-395,35145,26434,non-stop,08:00,09:40,100,0,2252,0,0
02-01-2023,G8-395,35145,26555,1-stop,08:00,19:50,710,0,7613,0,0
02-01-2023,G8-395,35145,26555,1-stop,08:00,23:30,930,0,7613,0,0
02-01-2023,G8-397,26434,26555,1-stop,16:40,07:15,875,0,5978,0,0
02-01-2023,G8-398,26434,26555,1-stop,19:20,10:30,910,0,5996,0,0
02-01-2023,G8-398,26434,35145,non-stop,19:20,20:55,95,0,3950,0,0
02-01-2023,G8-399,35145,26434,non-stop,20:30,22:15,105,0,2252,0,0
02-01-2023,G8-399,35145,26496,1-stop,20:30,10:00,810,0,6816,0,0
02-01-2023,G8-399,35145,26555,1-stop,20:30,08:00,690,0,8215,0,0
02-01-2023,G8-399,35145,26555,1-stop,20:30,10:55,865,0,8215,0,0
02-01-2023,G8-399,35145,26555,1-stop,20:30,12:05,935,0,8215,0,0
02-01-2023,G8-399,35145,26618,1-stop,20:30,07:35,665,0,4488,0,0
02-01-2023,G8-401,35145,26555,1-stop,15:40,21:45,365,0,9126,0,0
02-01-2023,G8-413,26431,26434,non-stop,21:10,22:30,80,0,3377,0,0
02-01-2023,G8-413,26431,26618,1-stop,21:10,07:35,625,0,5613,0,0
02-01-2023,G8-413,26431,35145,1-stop,21:10,07:20,610,0,5054,0,0
02-01-2023,G8-422,26555,35141,non-stop,20:45,22:55,130,0,5184,0,0
02-01-2023,G8-424,35141,26555,non-stop,06:20,08:45,145,0,5169,0,0
02-01-2023,G8-459,26431,26434,non-stop,09:25,10:45,80,0,6717,0,0
02-01-2023,G8-459,26431,35145,1-stop,09:25,20:55,690,0,8392,0,0
02-01-2023,G8-459,26431,35145,1-stop,09:25,23:20,835,0,8392,0,0
02-01-2023,G8-511,26434,26496,non-stop,07:30,10:00,150,0,8042,0,0
02-01-2023,G8-511,26434,26555,1-stop,07:30,16:55,565,0,15647,0,0
02-01-2023,G8-514,26496,26431,1-stop,16:55,23:50,415,0,14618,0,0
02-01-2023,G8-514,26496,26434,non-stop,16:55,19:35,160,0,13228,0,0
02-01-2023,G8-514,26496,26555,1-stop,16:55,01:05,490,0,18589,0,0
02-01-2023,G8-514,26496,26555,1-stop,16:55,02:00,545,0,18589,0,0
02-01-2023,G8-514,26496,26555,1-stop,16:55,08:00,905,0,18589,0,0
02-01-2023,G8-514,26496,35145,1-stop,16:55,07:20,865,0,14905,0,0
02-01-2023,G8-514,26496,35145,1-stop,16:55,23:20,385,0,14905,0,0
02-01-2023,G8-530,26555,26434,non-stop,06:00,08:10,130,0,5899,0,0
02-01-2023,G8-530,26555,35145,1-stop,06:00,20:55,895,0,7576,0,0
02-01-2023,G8-532,26431,35145,1-stop,06:20,19:25,785,0,18967,0,0
02-01-2023,G8-532,26496,26555,1-stop,09:15,18:30,555,0,10623,0,0
02-01-2023,G8-537,26431,26618,1-stop,20:10,07:35,685,0,4969,0,0
02-01-2023,G8-537,26431,35145,1-stop,20:10,07:20,670,0,4410,0,0
02-01-2023,G8-537,26496,26431,non-stop,16:35,19:25,170,0,8355,0,0
02-01-2023,G8-537,26496,26434,1-stop,16:35,21:25,290,0,8660,0,0
02-01-2023,G8-537,26496,26434,1-stop,16:35,22:30,355,0,8160,0,0
02-01-2023,G8-537,26496,26555,1-stop,16:35,00:50,495,0,7110,0,0
02-01-2023,G8-537,26496,35145,1-stop,16:35,23:25,410,0,7110,0,0
02-01-2023,G8-575,26434,26555,1-stop,05:00,20:20,920,0,9027,0,0
02-01-2023,G8-713,26555,26431,non-stop,20:25,22:00,95,0,3090,0,0
02-01-2023,G8-713,26555,26434,1-stop,20:25,10:45,860,0,4592,0,0
02-01-2023,G8-713,26555,35145,1-stop,20:25,11:25,900,0,8272,0,0
02-01-2023,G8-714,26431,26555,non-stop,23:15,00:50,95,0,3570,0,0
02-01-2023,G8-714,26431,35145,1-stop,23:15,08:35,560,0,6820,0,0
02-01-2023,G8-715,26431,26555,1-stop,05:00,14:30,570,0,9622,0,0
02-01-2023,G8-715,26431,35145,1-stop,05:00,10:05,305,0,5813,0,0
02-01-2023,G8-717,26555,26431,non-stop,17:30,19:05,95,0,3090,0,0
02-01-2023,G8-717,26555,26434,1-stop,17:30,21:25,235,0,5302,0,0
02-01-2023,G8-717,26555,26434,1-stop,17:30,22:30,300,0,4935,0,0
02-01-2023,G8-717,26555,35145,1-stop,17:30,23:25,355,0,8272,0,0
02-01-2023,G8-718,26431,26555,non-stop,19:35,21:15,100,0,3570,0,0
02-01-2023,G8-718,26431,35145,1-stop,19:35,08:35,780,0,6820,0,0
02-01-2023,G8-719,26555,26431,non-stop,06:00,07:35,95,0,2740,0,0
02-01-2023,G8-719,26555,26434,1-stop,06:00,10:45,285,0,5931,0,0
02-01-2023,G8-719,26555,35145,1-stop,06:00,11:25,325,0,7922,0,0
02-01-2023,G8-720,26431,26555,non-stop,08:30,10:05,95,0,6637,0,0
02-01-2023,G8-721,35145,26496,1-stop,06:30,16:15,585,0,6816,0,0
02-01-2023,G8-721,35145,26555,1-stop,06:30,14:30,480,0,7905,0,0
02-01-2023,G8-721,35145,26555,1-stop,06:30,21:50,920,0,6093,0,0
02-01-2023,G8-801,35145,26555,1-stop,06:20,21:15,895,0,9126,0,0
02-01-2023,G8-801,35145,35141,1-stop,06:20,21:30,910,0,10750,0,0
02-01-2023,G8-802,26431,35145,non-stop,09:25,11:25,120,0,5703,0,0
02-01-2023,G8-803,35145,26496,1-stop,18:30,08:40,850,0,6816,0,0
02-01-2023,G8-803,35145,26555,1-stop,18:30,00:50,380,0,9126,0,0
02-01-2023,G8-803,35145,26555,1-stop,18:30,10:05,935,0,9126,0,0
02-01-2023,G8-804,26431,35145,non-stop,21:10,23:25,135,0,5703,0,0
02-01-2023,G8-808,35145,26555,1-stop,16:05,07:15,910,0,5866,0,0
02-01-2023,G8-887,35145,26496,non-stop,20:10,22:40,150,0,7264,0,0
02-01-2023,G8-888,26496,26431,1-stop,16:50,08:45,955,0,17443,0,0
02-01-2023,G8-888,26496,26434,1-stop,16:50,22:15,325,0,13482,0,0
02-01-2023,G8-888,26496,26555,1-stop,16:50,00:15,445,0,16468,0,0
02-01-2023,G8-888,26496,35145,non-stop,16:50,19:25,155,0,12072,0,0
02-01-2023,I5-1228,26555,26434,1-stop,09:30,00:40,910,0,4827,0,0
02-01-2023,I5-1228,26555,26434,1-stop,09:30,19:00,570,0,4827,0,0
02-01-2023,I5-1228,26555,26434,1-stop,09:30,21:00,690,0,4827,0,0
02-01-2023,I5-1228,26555,26618,1-stop,09:30,17:05,455,0,6887,0,0
02-01-2023,I5-1228,26555,35141,1-stop,09:30,16:50,440,0,5955,0,0
02-01-2023,I5-1228,26555,35141,1-stop,09:30,17:20,470,0,5955,0,0
02-01-2023,I5-1228,26555,35145,non-stop,09:30,12:15,165,0,5485,0,0
02-01-2023,I5-1228,35145,26555,2+-stop,12:55,23:05,610,0,8334,0,0
02-01-2023,I5-1228,35145,35141,non-stop,12:55,14:05,70,0,3640,0,0
02-01-2023,I5-1229,35141,26434,1-stop,19:40,00:40,300,0,3991,0,0
02-01-2023,I5-1229,35141,26496,1-stop,19:40,01:10,330,0,6578,0,0
02-01-2023,I5-1229,35141,26496,1-stop,19:40,02:00,380,0,6578,0,0
02-01-2023,I5-1229,35141,26496,1-stop,19:40,07:25,705,0,6578,0,0
02-01-2023,I5-1229,35141,26555,1-stop,19:40,01:25,345,0,6368,0,0
02-01-2023,I5-1229,35141,26555,1-stop,19:40,08:55,795,0,6868,0,0
02-01-2023,I5-1229,35141,26618,1-stop,19:40,06:10,630,0,3061,0,0
02-01-2023,I5-1229,35141,26618,1-stop,19:40,08:35,775,0,3061,0,0
02-01-2023,I5-1229,35141,35145,non-stop,19:40,20:50,70,0,3422,0,0
02-01-2023,I5-1426,35145,26496,2+-stop,12:45,21:25,520,0,8820,0,0
02-01-2023,I5-1426,35145,26555,1-stop,12:45,20:05,440,0,5424,0,0
02-01-2023,I5-1426,35145,26555,1-stop,12:45,23:05,620,0,10920,0,0
02-01-2023,I5-1451,35145,26618,non-stop,05:10,06:10,60,0,1918,0,0
02-01-2023,I5-1451,35145,35141,1-stop,05:10,10:35,325,0,4293,0,0
02-01-2023,I5-1452,26618,26434,1-stop,06:45,19:00,735,0,3544,0,0
02-01-2023,I5-1452,26618,26434,1-stop,06:45,21:00,855,0,3544,0,0
02-01-2023,I5-1452,26618,26496,1-stop,06:45,15:35,530,0,8023,0,0
02-01-2023,I5-1452,26618,26496,1-stop,06:45,19:45,780,0,6358,0,0
02-01-2023,I5-1452,26618,26555,1-stop,06:45,14:20,455,0,6077,0,0
02-01-2023,I5-1452,26618,35145,non-stop,06:45,07:50,65,0,1938,0,0
02-01-2023,I5-1452,35145,26555,1-stop,08:50,20:45,715,0,5424,0,0
02-01-2023,I5-1453,35145,26434,1-stop,13:00,02:20,800,0,3893,0,0
02-01-2023,I5-1453,35145,26555,1-stop,13:00,01:45,765,0,6400,0,0
02-01-2023,I5-1453,35145,26555,1-stop,13:00,19:10,370,0,7094,0,0
02-01-2023,I5-1453,35145,26555,1-stop,13:00,22:15,555,0,8842,0,0
02-01-2023,I5-1453,35145,35141,1-stop,13:00,20:25,445,0,4849,0,0
02-01-2023,I5-1453,35145,35141,1-stop,13:00,21:05,485,0,5292,0,0
02-01-2023,I5-1455,35145,26496,1-stop,16:35,21:25,290,0,6813,0,0
02-01-2023,I5-1455,35145,26555,1-stop,16:35,00:55,500,0,5424,0,0
02-01-2023,I5-1518,35141,26496,1-stop,21:00,02:00,300,0,6578,0,0
02-01-2023,I5-1518,35141,26496,1-stop,21:00,07:25,625,0,6578,0,0
02-01-2023,I5-1518,35141,26555,1-stop,21:00,08:55,715,0,6368,0,0
02-01-2023,I5-1518,35141,26618,1-stop,21:00,06:10,550,0,3061,0,0
02-01-2023,I5-1518,35141,26618,1-stop,21:00,08:35,695,0,3061,0,0
02-01-2023,I5-1518,35141,35145,non-stop,21:00,22:10,70,0,3199,0,0
02-01-2023,I5-1528,35145,26555,non-stop,06:05,08:55,170,0,6603,0,0
02-01-2023,I5-1533,35145,26496,non-stop,05:10,07:25,135,0,7261,0,0
02-01-2023,I5-1536,26496,26434,1-stop,08:30,19:00,630,0,7241,0,0
02-01-2023,I5-1536,26496,26434,1-stop,08:30,21:00,750,0,7241,0,0
02-01-2023,I5-1536,26496,35141,1-stop,08:30,14:05,335,0,6508,0,0
02-01-2023,I5-1536,26496,35141,1-stop,08:30,16:50,500,0,6508,0,0
02-01-2023,I5-1536,26496,35141,1-stop,08:30,17:20,530,0,6508,0,0
02-01-2023,I5-1536,26496,35145,non-stop,08:30,10:45,135,0,7555,0,0
02-01-2023,I5-1543,35141,26434,1-stop,14:20,00:40,620,0,3991,0,0
02-01-2023,I5-1543,35141,26434,1-stop,14:20,19:00,280,0,3991,0,0
02-01-2023,I5-1543,35141,26434,1-stop,14:20,21:00,400,0,3991,0,0
02-01-2023,I5-1543,35141,26496,1-stop,14:20,01:10,650,0,6578,0,0
02-01-2023,I5-1543,35141,26496,1-stop,14:20,02:00,700,0,6578,0,0
02-01-2023,I5-1543,35141,26496,1-stop,14:20,19:45,325,0,6578,0,0
02-01-2023,I5-1543,35141,26555,1-stop,14:20,01:25,665,0,6368,0,0
02-01-2023,I5-1543,35141,26555,1-stop,14:20,20:45,385,0,6368,0,0
02-01-2023,I5-1543,35141,35145,non-stop,14:20,15:30,70,0,3845,0,0
02-01-2023,I5-1562,35145,26496,1-stop,11:55,15:35,220,0,7265,0,0
02-01-2023,I5-1562,35145,26496,1-stop,11:55,21:25,570,0,6813,0,0
02-01-2023,I5-1563,26496,26434,2+-stop,16:10,00:40,510,0,10505,0,0
02-01-2023,I5-1563,26496,26555,1-stop,16:10,00:55,525,0,6478,0,0
02-01-2023,I5-1563,26496,35141,2+-stop,16:10,08:45,995,0,11049,0,0
02-01-2023,I5-1563,26496,35141,2+-stop,16:10,10:35,1105,0,9394,0,0
02-01-2023,I5-1563,26496,35145,1-stop,16:10,19:50,220,0,7558,0,0
02-01-2023,I5-1563,26496,35145,1-stop,16:10,21:05,295,0,6195,0,0
02-01-2023,I5-1567,35145,26496,1-stop,06:50,15:35,525,0,6813,0,0
02-01-2023,I5-1567,35145,26496,1-stop,06:50,21:25,875,0,6813,0,0
02-01-2023,I5-1567,35145,26555,1-stop,06:50,16:20,570,0,5424,0,0
02-01-2023,I5-1569,26434,26496,1-stop,19:40,01:10,330,0,7308,0,0
02-01-2023,I5-1569,26434,26496,1-stop,19:40,02:00,380,0,7308,0,0
02-01-2023,I5-1569,26434,26496,1-stop,19:40,07:25,705,0,7308,0,0
02-01-2023,I5-1569,26434,26555,1-stop,19:40,01:25,345,0,4546,0,0
02-01-2023,I5-1569,26434,26555,1-stop,19:40,08:55,795,0,5959,0,0
02-01-2023,I5-1569,26434,26618,1-stop,19:40,06:10,630,0,4041,0,0
02-01-2023,I5-1569,26434,26618,1-stop,19:40,08:35,775,0,4041,0,0
02-01-2023,I5-1569,26434,35141,1-stop,19:40,08:45,785,0,3780,0,0
02-01-2023,I5-1569,26434,35141,1-stop,19:40,10:35,895,0,6416,0,0
02-01-2023,I5-1569,26434,35145,non-stop,19:40,21:40,120,0,2851,0,0
02-01-2023,I5-1574,35145,26434,1-stop,04:10,14:05,595,0,5615,0,0
02-01-2023,I5-1574,35145,26555,1-stop,04:10,10:45,395,0,7094,0,0
02-01-2023,I5-1576,35141,26555,1-stop,09:20,23:05,825,0,8457,0,0
02-01-2023,I5-1576,35145,26496,1-stop,07:40,13:00,320,0,6813,0,0
02-01-2023,I5-1576,35145,35141,non-stop,07:40,08:45,65,0,3253,0,0
02-01-2023,I5-1621,35145,26555,1-stop,05:05,12:40,455,0,5424,0,0
02-01-2023,I5-1621,35145,26555,1-stop,05:05,14:30,565,0,5424,0,0
02-01-2023,I5-1622,35145,26555,1-stop,10:50,21:45,655,0,7883,0,0
02-01-2023,I5-1731,35145,26555,non-stop,17:55,20:45,170,0,5448,0,0
02-01-2023,I5-1732,26555,26618,1-stop,21:20,06:10,530,0,6418,0,0
02-01-2023,I5-1732,26555,26618,1-stop,21:20,08:35,675,0,6418,0,0
02-01-2023,I5-1732,26555,35141,1-stop,21:20,08:45,685,0,5955,0,0
02-01-2023,I5-1732,26555,35141,1-stop,21:20,10:35,795,0,9050,0,0
02-01-2023,I5-1732,26555,35145,non-stop,21:20,23:55,155,0,5485,0,0
02-01-2023,I5-1780,35145,26496,1-stop,05:25,11:35,370,0,8419,0,0
02-01-2023,I5-1780,35145,26555,1-stop,05:25,14:30,545,0,7883,0,0
02-01-2023,I5-1781,35145,26555,1-stop,12:15,19:45,450,0,5424,0,0
02-01-2023,I5-1782,35145,26434,non-stop,19:20,21:00,100,0,2941,0,0
02-01-2023,I5-1784,26434,26496,1-stop,21:50,07:25,575,0,7308,0,0
02-01-2023,I5-1784,26434,26555,1-stop,21:50,08:55,665,0,5959,0,0
02-01-2023,I5-1784,26434,26555,1-stop,21:50,14:20,990,0,4546,0,0
02-01-2023,I5-1784,26434,26618,1-stop,21:50,06:10,500,0,4041,0,0
02-01-2023,I5-1784,26434,26618,1-stop,21:50,08:35,645,0,4041,0,0
02-01-2023,I5-1784,26434,35141,1-stop,21:50,08:45,655,0,3780,0,0
02-01-2023,I5-1784,26434,35141,1-stop,21:50,10:35,765,0,6416,0,0
02-01-2023,I5-1784,26434,35145,non-stop,21:50,23:50,120,0,2851,0,0
02-01-2023,I5-1981,35145,26555,1-stop,05:05,11:45,400,0,7883,0,0
02-01-2023,I5-1982,35145,26555,1-stop,08:25,15:55,450,0,11601,0,0
02-01-2023,I5-1982,35145,26555,1-stop,08:25,21:10,765,0,7094,0,0
02-01-2023,I5-1983,35141,35145,1-stop,17:25,07:05,820,0,4488,0,0
02-01-2023,I5-1983,35145,26434,2+-stop,15:40,02:20,640,0,7069,0,0
02-01-2023,I5-1983,35145,26434,2+-stop,15:40,06:55,915,0,7069,0,0
02-01-2023,I5-1983,35145,26555,2+-stop,15:40,01:45,605,0,10541,0,0
02-01-2023,I5-1983,35145,35141,non-stop,15:40,16:50,70,0,3640,0,0
02-01-2023,I5-2461,35145,26618,non-stop,16:05,17:05,60,0,2128,0,0
02-01-2023,I5-2472,35145,26496,1-stop,06:50,12:35,345,0,6813,0,0
02-01-2023,I5-2472,35145,26555,1-stop,06:50,19:30,760,0,5424,0,0
02-01-2023,I5-319,26496,26555,2+-stop,13:20,00:55,695,0,6478,0,0
02-01-2023,I5-319,26496,26555,2+-stop,13:20,01:35,735,0,6407,0,0
02-01-2023,I5-319,26496,26555,2+-stop,13:20,03:55,875,0,12334,0,0
02-01-2023,I5-319,26496,35145,1-stop,13:20,00:40,680,0,10733,0,0
02-01-2023,I5-319,26496,35145,1-stop,13:20,19:50,390,0,6195,0,0
02-01-2023,I5-319,26496,35145,1-stop,13:20,20:45,445,0,9793,0,0
02-01-2023,I5-319,26496,35145,1-stop,13:20,21:05,465,0,6195,0,0
02-01-2023,I5-330,26555,26618,2+-stop,23:05,08:35,570,0,10180,0,0
02-01-2023,I5-330,26555,35141,2+-stop,23:05,10:35,690,0,9236,0,0
02-01-2023,I5-330,26555,35145,1-stop,23:05,06:55,470,0,5167,0,0
02-01-2023,I5-331,26434,26555,1-stop,03:55,10:45,410,0,7308,0,0
